  0.62  39.44 226.53
  0.62  39.47 226.50
  0.62  39.51 226.47
  0.62  39.55 226.44
  0.62  39.59 226.41
  0.62  39.63 226.38
  0.62  39.67 226.35
  0.62  39.70 226.32
  0.63  39.74 226.29
  0.63  39.78 226.26
  0.63  39.82 226.23
  0.63  39.86 226.20
  0.63  39.90 226.17
  0.63  39.93 226.14
  0.63  39.97 226.11
  0.63  40.01 226.08
  0.64  40.05 226.05
  0.64  40.09 226.02
  0.64  40.12 225.99
  0.64  40.16 225.96
  0.64  40.20 225.93
  0.64  40.24 225.90
  0.64  40.27 225.87
  0.65  40.31 225.84
  0.65  40.35 225.81
  0.65  40.39 225.78
  0.65  40.43 225.75
  0.65  40.46 225.72
  0.65  40.50 225.69
  0.65  40.54 225.66
  0.65  40.58 225.63
  0.66  40.61 225.60
  0.66  40.65 225.57
  0.66  40.69 225.54
  0.66  40.73 225.51
  0.66  40.76 225.48
  0.66  40.80 225.45
  0.66  40.84 225.42
  0.66  40.87 225.39
  0.67  40.91 225.36
  0.67  40.95 225.33
  0.67  40.99 225.30
  0.67  41.02 225.27
  0.67  41.06 225.24
  0.67  41.10 225.21
  0.67  41.13 225.18
  0.67  41.17 225.15
  0.68  41.21 225.12
  0.68  41.24 225.09
  0.68  41.28 225.06
  0.68  41.32 225.03
  0.68  41.35 225.00
  0.68  41.39 224.97
  0.68  41.43 224.94
  0.69  41.46 224.91
  0.69  41.50 224.88
  0.69  41.54 224.85
  0.69  41.57 224.82
  0.69  41.61 224.79
  0.69  41.65 224.76
  0.69  41.68 224.73
  0.69  41.72 224.70
  0.70  41.76 224.67
  0.70  41.79 224.64
  0.70  41.83 224.61
  0.70  41.87 224.58
  0.70  41.90 224.55
  0.70  41.94 224.52
